'aar','Afar'
'abk','Abkhazian'
'ace','Achinese'
'ach','Acoli'
'ada','Adangme'
'ady','Adyghe; Adygei'
'afa','Afro-Asiatic languages'
'afh','Afrihili'
'afr','Afrikaans'
'ain','Ainu'
'aka','Akan'
'akk','Akkadian'
'alb','Albanian'
'ale','Aleut'
'alg','Algonquian languages'
'alt','Southern Altai'
'amh','Amharic'
'ang','English, Old (ca.450-1100)'
'anp','Angika'
'apa','Apache languages'
'ara','Arabic'
'arc','Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE)'
'arg','Aragonese'
'arm','Armenian'
'arn','Mapudungun; Mapuche'
'arp','Arapaho'
'art','Artificial languages'
'arw','Arawak'
'asm','Assamese'
'ast','Asturian; Bable; Leonese; Asturleonese'
'ath','Athapascan languages'
'aus','Australian languages'
'ava','Avaric'
'ave','Avestan'
'awa','Awadhi'
'aym','Aymara'
'aze','Azerbaijani'
'bad','Banda languages'
'bai','Bamileke languages'
'bak','Bashkir'
'bal','Baluchi'
'bam','Bambara'
'ban','Balinese'
'baq','Basque'
'bas','Basa'
'bat','Baltic languages'
'bej','Beja; Bedawiyet'
'bel','Belarusian'
'bem','Bemba'
'ben','Bengali'
'ber','Berber languages'
'bho','Bhojpuri'
'bih','Bihari languages'
'bik','Bikol'
'bin','Bini; Edo'
'bis','Bislama'
'bla','Siksika'
'bnt','Bantu languages'
'tib','Tibetan'
'bos','Bosnian'
'bra','Braj'
'bre','Breton'
'btk','Batak languages'
'bua','Buriat'
'bug','Buginese'
'bul','Bulgarian'
'bur','Burmese'
'byn','Blin; Bilin'
'cad','Caddo'
'cai','Central American Indian languages'
'car','Galibi Carib'
'cat','Catalan; Valencian'
'cau','Caucasian languages'
'ceb','Cebuano'
'cel','Celtic languages'
'cze','Czech'
'cha','Chamorro'
'chb','Chibcha'
'che','Chechen'
'chg','Chagatai'
'chi','Chinese'
'chk','Chuukese'
'chm','Mari'
'chn','Chinook jargon'
'cho','Choctaw'
'chp','Chipewyan; Dene Suline'
'chr','Cherokee'
'chu','Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic'
'chv','Chuvash'
'chy','Cheyenne'
'cmc','Chamic languages'
'cop','Coptic'
'cor','Cornish'
'cos','Corsican'
'cpe','Creoles and pidgins, English based'
'cpf','Creoles and pidgins, French-based'
'cpp','Creoles and pidgins, Portuguese-based'
'cre','Cree'
'crh','Crimean Tatar; Crimean Turkish'
'crp','Creoles and pidgins'
'csb','Kashubian'
'cus','Cushitic languages'
'wel','Welsh'
'cze','Czech'
'dak','Dakota'
'dan','Danish'
'dar','Dargwa'
'day','Land Dayak languages'
'del','Delaware'
'den','Slave (Athapascan)'
'ger','German'
'dgr','Dogrib'
'din','Dinka'
'div','Divehi; Dhivehi; Maldivian'
'doi','Dogri'
'dra','Dravidian languages'
'dsb','Lower Sorbian'
'dua','Duala'
'dum','Dutch, Middle (ca.1050-1350)'
'dut','Dutch; Flemish'
'dyu','Dyula'
'dzo','Dzongkha'
'efi','Efik'
'egy','Egyptian (Ancient)'
'eka','Ekajuk'
'gre','Greek, Modern (1453-)'
'elx','Elamite'
'eng','English'
'enm','English, Middle (1100-1500)'
'epo','Esperanto'
'est','Estonian'
'baq','Basque'
'ewe','Ewe'
'ewo','Ewondo'
'fan','Fang'
'fao','Faroese'
'per','Persian'
'fat','Fanti'
'fij','Fijian'
'fil','Filipino; Pilipino'
'fin','Finnish'
'fiu','Finno-Ugrian languages'
'fon','Fon'
'fre','French'
'fre','French'
'frm','French, Middle (ca.1400-1600)'
'fro','French, Old (842-ca.1400)'
'frr','Northern Frisian'
'frs','Eastern Frisian'
'fry','Western Frisian'
'ful','Fulah'
'fur','Friulian'
'gaa','Ga'
'gay','Gayo'
'gba','Gbaya'
'gem','Germanic languages'
'geo','Georgian'
'ger','German'
'gez','Geez'
'gil','Gilbertese'
'gla','Gaelic; Scottish Gaelic'
'gle','Irish'
'glg','Galician'
'glv','Manx'
'gmh','German, Middle High (ca.1050-1500)'
'goh','German, Old High (ca.750-1050)'
'gon','Gondi'
'gor','Gorontalo'
'got','Gothic'
'grb','Grebo'
'grc','Greek, Ancient (to 1453)'
'gre','Greek, Modern (1453-)'
'grn','Guarani'
'gsw','Swiss German; Alemannic; Alsatian'
'guj','Gujarati'
'gwi','Gwich'in'
'hai','Haida'
'hat','Haitian; Haitian Creole'
'hau','Hausa'
'haw','Hawaiian'
'heb','Hebrew'
'her','Herero'
'hil','Hiligaynon'
'him','Himachali languages; Western Pahari languages'
'hin','Hindi'
'hit','Hittite'
'hmn','Hmong; Mong'
'hmo','Hiri Motu'
'hrv','Croatian'
'hsb','Upper Sorbian'
'hun','Hungarian'
'hup','Hupa'
'arm','Armenian'
'iba','Iban'
'ibo','Igbo'
'ice','Icelandic'
'ido','Ido'
'iii','Sichuan Yi; Nuosu'
'ijo','Ijo languages'
'iku','Inuktitut'
'ile','Interlingue; Occidental'
'ilo','Iloko'
'ina','Interlingua (International Auxiliary Language Association)'
'inc','Indic languages'
'ind','Indonesian'
'ine','Indo-European languages'
'inh','Ingush'
'ipk','Inupiaq'
'ira','Iranian languages'
'iro','Iroquoian languages'
'ice','Icelandic'
'ita','Italian'
'jav','Javanese'
'jbo','Lojban'
'jpn','Japanese'
'jpr','Judeo-Persian'
'jrb','Judeo-Arabic'
'kaa','Kara-Kalpak'
'kab','Kabyle'
'kac','Kachin; Jingpho'
'kal','Kalaallisut; Greenlandic'
'kam','Kamba'
'kan','Kannada'
'kar','Karen languages'
'kas','Kashmiri'
'geo','Georgian'
'kau','Kanuri'
'kaw','Kawi'
'kaz','Kazakh'
'kbd','Kabardian'
'kha','Khasi'
'khi','Khoisan languages'
'khm','Central Khmer'
'kho','Khotanese; Sakan'
'kik','Kikuyu; Gikuyu'
'kin','Kinyarwanda'
'kir','Kirghiz; Kyrgyz'
'kmb','Kimbundu'
'kok','Konkani'
'kom','Komi'
'kon','Kongo'
'kor','Korean'
'kos','Kosraean'
'kpe','Kpelle'
'krc','Karachay-Balkar'
'krl','Karelian'
'kro','Kru languages'
'kru','Kurukh'
'kua','Kuanyama; Kwanyama'
'kum','Kumyk'
'kur','Kurdish'
'kut','Kutenai'
'lad','Ladino'
'lah','Lahnda'
'lam','Lamba'
'lao','Lao'
'lat','Latin'
'lav','Latvian'
'lez','Lezghian'
'lim','Limburgan; Limburger; Limburgish'
